,name,class01,class02,city,county,askContent,askLen,askTime,ansOrNot,ansDpt,ansContent,ansLen,ansTime,ansDpt2,ansContent2,ansLen2,ansTime2,scUrl,askCon_cutted,ansCon_cutted,tfidf_askCon_key_word,tfidf_ansCon_key_word
10,恒大御景,城建,投诉,成都,市长王凤朝,温江恒大御景能不能如期交房，现在复工只是磨洋工，何时才能进装修材料，绿化，给老百姓一个交代说法，一辈子的积蓄，老百姓负担不起,62,2022-03-05 22:45,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943513,温江 恒大御 景能 不能 如期 交房 ， 现在 复工 只是 磨洋工 ， 何时 才能 进 装修 材料 ， 绿化 ， 给 老百姓 一个 交代 说法 ， 一辈子 的 积蓄 ， 老百姓 负担 不起,,"['磨洋工', '老百姓', '恒大御']",
11,东方希望天荟小区应政府要求锁人防车位？,3.15,求助,成都,高新区,成都市高新区东方希望天荟小区物业，2022年3月5日全面地锁负二楼人防车位，并告知应政府要求锁人防车位。应目前，负二楼人防车位全面被锁。物业要求业主，之前租赁也不能使用人防车位，只能购买这些车位才能使用。,102,2022-03-05 22:48,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943514,成都市 高新区 东方 希望 天荟 小区 物业 ， 2022 年 3 月 5 日 全面 地锁 负 二楼 人防 车位 ， 并 告知 应 政府 要求 锁 人防 车位 。 应 目前 ， 负 二楼 人防 车位 全面 被 锁 。 物业 要求 业主 ， 之前 租赁 也 不能 使用 人防 车位 ， 只能 购买 这些 车位 才能 使用 。,,"['车位', '人防', '二楼']",
12,请书记还我们一个安静环境,环保,投诉,成都,市委书记施小琳,东锦街甦杏茶楼噪音扰民严重，严重影响我们周边住户的身心健康，希望相关部门严肃查处，还我们一个安宁,48,2022-03-05 23:06,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943515,东锦街 甦 杏 茶楼 噪音 扰民 严重 ， 严重 影响 我们 周边 住户 的 身心健康 ， 希望 相关 部门 严肃查处 ， 还 我们 一个 安宁,,"['东锦街', '严重', '严肃查处']",
13,丽水澜庭B区电瓶车停车棚,其他,投诉,成都,成华区,我想说的事就是丽水澜庭b区停电瓶车的事，我们因为是做装修的，经常在商场里面晚上加班很晚甚至到凌晨几点因为停车棚他晚上11点就关门了，而且过后他就不再开门了，就算你给开门费他也不开了，他叫我们自己停在小区里面，我们自己都觉得不安全，这小区电瓶车经常掉，我们希望能改善一下，希望小区能像丽水澜庭A区那样修个智能化的车棚，那样都挺方便得,165,2022-03-05 23:14,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943517,我 想 说 的 事 就是 丽水 澜庭 b 区停 电瓶车 的 事 ， 我们 因为 是 做 装修 的 ， 经常 在 商场 里面 晚上 加班 很 晚 甚至 到 凌晨 几点 因为 停车 棚 他 晚上 11 点 就 关门 了 ， 而且 过后 他 就 不再 开门 了 ， 就算 你 给 开门 费 他 也 不开 了 ， 他 叫 我们 自己 停 在 小区 里面 ， 我们 自己 都 觉得 不 安全 ， 这 小区 电瓶车 经常 掉 ， 我们 希望 能 改善 一下 ， 希望 小区 能 像 丽水 澜庭 A 区 那样 修个 智能化 的 车棚 ， 那样 都 挺 方便 得,,"['澜庭', '电瓶车', '小区']",
14,咨询天然气收费标准,其他,咨询,成都,龙泉驿区,领导你好，我是龙泉这边一小区业主，我查询了一哈气费，在2021年11月25到2022年1月25。用气量是129方，有104方是按2阶段2.43元收费，1月25到2月25，用气量是是73方，是按3阶段3.04元收取的，我想问一下这个阶段收费是一个什么标准,126,2022-03-05 23:22,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943519,领导 你好 ， 我 是 龙泉 这边 一 小区业主 ， 我 查询 了 一 哈气 费 ， 在 2021 年 11 月 25 到 2022 年 1 月 25 。 用 气量 是 129 方 ， 有 104 方是 按 2 阶段 2.43 元 收费 ， 1 月 25 到 2 月 25 ， 用 气量 是 是 73 方 ， 是 按 3 阶段 3.04 元 收取 的 ， 我 想 问 一下 这个 阶段 收费 是 一个 什么 标准,,"['25', '气量', '阶段']",
15,电子医保卡参保地不正确,医疗,咨询,成都,金堂县,我的医保现在参保地是金堂，但是我的电子医保卡参保地还是老家的信息，不知道出了什么问题。经查询我也是正常参保的,54,2022-03-05 23:30,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943520,我 的 医保 现在 参保 地是 金堂 ， 但是 我 的 电子 医保卡 参保 地 还是 老家 的 信息 ， 不 知道 出 了 什么 问题 。 经 查询 我 也 是 正常 参保 的,,"['参保', '地是', '金堂']",
16,双林路北横路129号深业泰悦府深夜施工扰民,城建,投诉,成都,成华区,双林北横路129号深业泰悦府深夜施工，不分周末工作日早上七点不到直接吵到晚上12点都还没有结束的意思，周边居民苦不堪言，孩子被施工作业声音吵到睡不着，第二天上学起不来。希望解决为感。,91,2022-03-05 23:36,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943521,双林 北横路 129 号 深业 泰悦府 深夜 施工 ， 不 分 周末 工作日 早上 七点 不到 直接 吵 到 晚上 12 点 都 还 没有 结束 的 意思 ， 周边 居民 苦不堪言 ， 孩子 被 施工 作业 声音 吵 到 睡不着 ， 第二天 上学 起不来 。 希望 解决 为感 。,,"['施工', '北横路', '129']",
17,郫县石牛公园,城建,咨询,成都,郫都区,请问郫县石牛公园里面的水池什么时候才能蓄水？现在去公园里玩儿，看到枯竭的水池真的让整个石牛公园大打折扣,51,2022-03-05 23:38,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943522,请问 郫县 石牛 公园 里面 的 水池 什么 时候 才能 蓄水 ？ 现在 去 公园 里 玩儿 ， 看到 枯竭 的 水池 真的 让 整个 石牛 公园 大打折扣,,"['石牛', '公园', '水池']",
18,丽春镇原牛蹄村6组拆迁,拆迁,咨询,成都,彭州市,你好，请问一下，丽春镇原牛蹄村6组，有拆迁计划吗？房子都修接近30年了，老化了。想重修有怕拆了。以后浪费资金。,55,2022-03-05 23:45,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943523,你好 ， 请问 一下 ， 丽春 镇原 牛蹄 村 6 组 ， 有 拆迁 计划 吗 ？ 房子 都 修 接近 30 年 了 ， 老化 了 。 想 重修 有怕 拆 了 。 以后 浪费 资金 。,,"['丽春', '30', '有怕']",
19,工程  施工噪音扰民 ,其他,投诉,绵阳,市委书记曹立军,领导您好，江油市金外滩人行天桥施工扰民，从早上6点至深夜12点有时通宵都在施工，宣传时说是民生工程，但是这样的施工行为是为民还是扰民？在问政四川平台给江油市反映，未得到回复，只有向上一级反映！噪音扰民是违法行为，相关部门为什么可以这样视而不见？居民整夜不能休息，这个危害谁能负责？如果还是得不到解决，我们会向省长信箱、省长热线反映！法治治国，我相信我国的法律法规会给老百姓保障！,189,2022-03-05 23:49,1,绵阳市网络发言人,网友：您好！您所反映的问题我们已转江油市处理并回复，敬请等待！,31,2022-03-06 09:41,,,,,https://ly.scol.com.cn//thread?tid=2943524,领导 您好 ， 江油市 金 外滩 人行天桥 施工 扰民 ， 从 早上 6 点至 深夜 12 点 有时 通宵 都 在 施工 ， 宣传 时说 是 民生 工程 ， 但是 这样 的 施工 行为 是 为民 还是 扰民 ？ 在 问政 四川 平台 给 江油市 反映 ， 未 得到 回复 ， 只有 向上 一级 反映 ！ 噪音 扰民 是 违法行为 ， 相关 部门 为什么 可以 这样 视而不见 ？ 居民 整夜 不能 休息 ， 这个 危害 谁 能 负责 ？ 如果 还是 得不到 解决 ， 我们 会 向 省长 信箱 、 省长 热线 反映 ！ 法治 治国 ， 我 相信 我国 的 法律法规 会 给 老百姓 保障 ！,网友 ： 您好 ！ 您 所 反映 的 问题 我们 已转 江油市 处理 并 回复 ， 敬请 等待 ！,"['扰民', '江油市', '施工']","['已转', '江油市', '您好']"
20,请问蒲江县有在修建北大新世纪学院吗？,城建,咨询,成都,蒲江县,请问蒲江县有在修建一所名叫北大新世纪（蒲江寿安）学院的学校吗？期待回复，非常感谢。,41,2022-03-05 23:57,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943526,请问 蒲江县 有 在 修建 一所 名叫 北大 新世纪 （ 蒲江 寿安 ） 学院 的 学校 吗 ？ 期待 回复 ， 非常感谢 。,,"['蒲江县', '蒲江', '寿安']",
21,身份证办理一直卡在制证成功,其他,求助,成都,锦江区,2022年1月底就申请办理身份证了，很早之前就制证成功，却迟迟不下发，已经40天了,41,2022-03-05 23:58,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943527,2022 年 1 月底 就 申请 办理 身份证 了 ， 很早 之前 就 制证 成功 ， 却 迟迟 不 下发 ， 已经 40 天 了,,"['2022', '制证', '40']",
22,人民医院背后的青鹰街,拆迁,咨询,成都,蒲江县,家住县医院旁的青鹰街，这里的房子已经年久失修，常年漏雨，路本就窄许多去医院的人还把车停到巷子里来造成拥堵，生活住宿条件很差，请问这个片区有没有棚改计划呢？,77,2022-03-06 00:02,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943528,家住 县 医院 旁 的 青鹰 街 ， 这里 的 房子 已经 年久失修 ， 常年 漏雨 ， 路本 就 窄 许多 去 医院 的 人 还 把 车 停到 巷子 里 来 造成 拥堵 ， 生活 住宿 条件 很差 ， 请问 这个 片区 有没有 棚改 计划 呢 ？,,"['青鹰', '路本', '棚改']",
23,如何更改医保里的参保地,医疗,求助,成都,锦江区,你好，本人户籍在眉山，起初在成都购买过居民医保，但是医保里参保地是眉山，切换不了成都，也无法进行电子医保卡消费，请问该如何解决了？,65,2022-03-06 00:19,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943529,你好 ， 本人 户籍 在 眉山 ， 起初 在 成都 购买 过 居民 医保 ， 但是 医保 里 参保 地是 眉山 ， 切换 不了 成都 ， 也 无法 进行 电子 医保卡 消费 ， 请问 该 如何 解决 了 ？,,"['眉山', '医保', '成都']",
24,货运大道新新路口严重拥堵,交通,建言,成都,新都区,货运大道新新路口鸿运大道路口新军路口一直以来就拥堵加上金凤凰高架通车后拥堵极为严重建议有关部门领导把货运大道现有的左转弯车道改为直行加左转弯尤其是新新路口另外硬化绿化带几十米加一条专用左转弯车道可大大缓解货运大道的通行能力,111,2022-03-06 00:32,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943530,货运 大道 新新 路口 鸿运 大道 路口 新军 路口 一直 以来 就 拥堵 加上 金凤凰 高架 通车 后 拥堵 极为 严重 建议 有关 部门 领导 把 货运 大道 现有 的 左 转弯 车道 改为 直行 加 左 转弯 尤其 是 新 新 路口 另外 硬化 绿化带 几十米 加 一条 专用 左 转弯 车道 可 大大 缓解 货运 大道 的 通行 能力,,"['路口', '大道', '转弯']",
25,社保、医保求助,医疗,求助,成都,青羊区,领导，您好！本人户籍地为遂宁市，起初在遂宁是购买了城乡居民医疗保险，后来停缴后注销了。现在在成都市青羊区缴纳社保，也在成都申请了新的社保卡。但是我的电子社保卡和医保电子凭证依旧显示的是遂宁市，且无法选择成都，也无法进行医保卡消费（电子医保卡和实体医保卡都不行），目前只能自费买药。请问应该怎么解决呢？,150,2022-03-06 00:34,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943531,领导 ， 您好 ！ 本人 户籍地 为 遂宁市 ， 起初 在 遂宁 是 购买 了 城乡居民 医疗保险 ， 后来 停缴 后 注销 了 。 现在 在 成都市 青羊区 缴纳 社保 ， 也 在 成都 申请 了 新 的 社保卡 。 但是 我 的 电子 社保卡 和 医保 电子 凭证 依旧 显示 的 是 遂宁市 ， 且 无法 选择 成都 ， 也 无法 进行 医保卡 消费 （ 电子 医保卡 和 实体 医保卡 都 不行 ） ， 目前 只能 自费 买药 。 请问 应该 怎么 解决 呢 ？,,"['医保卡', '遂宁市', '社保卡']",
26,医保电子凭证无法切换参保地,医疗,求助,成都,高新区,一直在高新区社保局参保，之前医保都是正常可使用的，去年11月起发现医保电子凭证不能使用了，当时打电话咨询，说是网上系统要统一更新数据什么的，让我耐心等待，可是三四个月了，还是无法使用，求助一下该怎么办呢？,102,2022-03-06 00:37,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943532,一直 在 高新区 社保局 参保 ， 之前 医保 都 是 正常 可 使用 的 ， 去年 11 月 起 发现 医保 电子 凭证 不能 使用 了 ， 当时 打电话 咨询 ， 说 是 网上 系统 要 统一 更新 数据 什么 的 ， 让 我 耐心 等待 ， 可是 三四个 月 了 ， 还是 无法 使用 ， 求助 一下 该 怎么办 呢 ？,,"['医保', '使用', '11']",
27,四川省会什么时候将试管婴儿纳入医保？,医疗,咨询,成都,市长王凤朝,北京已经将试管婴儿纳入医保，成都市会把试管婴儿纳入医保吗？会是什么时候？,36,2022-03-06 01:42,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943534,北京 已经 将 试管婴儿 纳入 医保 ， 成都市 会 把 试管婴儿 纳入 医保 吗 ？ 会 是 什么 时候 ？,,"['试管婴儿', '医保', '纳入']",
28,锦江区工地噪音问题多次投诉无果,城建,投诉,成都,锦江区,,0,2022-03-06 01:43,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943535,,,,
29,蓬安二中宿管素质低下,其他,投诉,南充,蓬安县,蓬安二中宿管素质低下，建议调整一下，学生不能因为这些人的辱骂，受到的侮辱而带着情绪学习，严重影响青少年心理健康,55,2022-03-06 01:47,1,南充市政务服务管理局,市民朋友，您好！您反映的问题已交办相关部门处理。,24,2022-03-06 21:40,,,,,https://ly.scol.com.cn//thread?tid=2943536,蓬安 二中 宿管 素质 低下 ， 建议 调整 一下 ， 学生 不能 因为 这些 人 的 辱骂 ， 受到 的 侮辱 而 带 着 情绪 学习 ， 严重 影响 青少年 心理健康,市民 朋友 ， 您好 ！ 您 反映 的 问题 已 交办 相关 部门 处理 。,"['蓬安', '宿管', '心理健康']","['交办', '您好', '市民']"
30,请问林荫街15号院有没有拆迁计划,拆迁,咨询,成都,武侯区,请问林荫路15号院有没有拆迁计划？此房屋为危房，每户都没有单独的厕所，使用起来不仅不方便，还相当的危险⚠️,53,2022-03-06 01:51,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943537,请问 林荫 路 15 号院 有没有 拆迁 计划 ？ 此 房屋 为 危房 ， 每户 都 没有 单独 的 厕所 ， 使用 起来 不仅 不 方便 ， 还 相当 的 危险 ⚠ ️,,"['15', '号院', '危房']",
31,地铁4号线延伸到崇州羊马吗？,交通,求助,成都,市长王凤朝,尊敬的市长：崇州市羊马新城片楼盘众多，住户人员陆续入住，该片有养老示范基地，我们养老才买的羊马的房子，对于养老人员以及该片居住人群出行极不方便，公共交通急需解决，目前羊马没有地铁也没有轻轨，明明直线距离4公里左右，几分钟地铁就能到温江进成都，现在需要1个多小时才能到4号线万盛站，出行上班就医等非常非常不方便，恳请领导为该片区的发展和民生考虑，为我们老百姓解决到崇州羊马的地铁和轻轨吧！谢谢！,196,2022-03-06 02:07,1,成都市规划和自然资源局,网友您好，您所反映的问题我们已经收悉，正转交给相关业务部门调查研究中，待正式结果出来后，我们将再次对您的咨询建议进行回复。感谢您对成都规划的关注和支持！成都市规划和自然资源局,87,2022-03-07 11:20,,,,,https://ly.scol.com.cn//thread?tid=2943538,尊敬 的 市长 ： 崇州市 羊马 新城 片 楼盘 众多 ， 住户 人员 陆续 入住 ， 该片 有 养老 示范 基地 ， 我们 养老 才 买 的 羊马 的 房子 ， 对于 养老 人员 以及 该片 居住 人群 出行 极 不 方便 ， 公共交通 急需解决 ， 目前 羊马 没有 地铁 也 没有 轻轨 ， 明明 直线 距离 4 公里 左右 ， 几分钟 地铁 就 能 到 温江 进 成都 ， 现在 需要 1 个 多 小时 才能 到 4 号线 万盛 站 ， 出行 上班 就医 等 非常 非常 不 方便 ， 恳请 领导 为 该片 区 的 发展 和 民生 考虑 ， 为 我们 老百姓 解决 到 崇州 羊马 的 地铁 和 轻轨 吧 ！ 谢谢 ！,网友 您好 ， 您 所 反映 的 问题 我们 已经 收悉 ， 正转 交给 相关 业务部门 调查 研究 中 ， 待 正式 结果 出来 后 ， 我们 将 再次 对 您 的 咨询 建议 进行 回复 。 感谢您 对 成都 规划 的 关注 和 支持 ！ 成都市 规划 和 自然资源 局,"['羊马', '该片', '地铁']","['收悉', '正转', '规划']"
32,建设工地夜间施工噪音投诉,城建,投诉,成都,温江区,尊敬的领导：恒大城小区外（政通西路公交站旁边）的建设工地夜间施工造成严重噪音，影响居民夜间休息。根据相关法律，若没有主管部门的特别批准，建设工地夜间（22点至6点）不能施工。特请求相关部门予以核实解决！谢谢,103,2022-03-06 02:11,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943539,尊敬 的 领导 ： 恒 大城 小区 外 （ 政通 西路 公交站 旁边 ） 的 建设 工地 夜间 施工 造成 严重 噪音 ， 影响 居民 夜间 休息 。 根据 相关 法律 ， 若 没有 主管部门 的 特别 批准 ， 建设 工地 夜间 （ 22 点至 6 点 ） 不能 施工 。 特 请求 相关 部门 予以 核实 解决 ！ 谢谢,,"['夜间', '工地', '施工']",
33,三台县滨江半岛D区,城建,求助,绵阳,三台县,我是滨江半岛D区业主：由于2号楼一楼入户大厅是全体业主的公摊面积，交由物业公司从2013年到2021年租给幼儿园占用，造成只有一个门面进入（包括消防在内），在门面墙上打了一个小门据说是消防安全通道（长年锁着的），业主也找了物业要求把一楼整层交还业主做入户大厅及消防通道，物业回答说是开发商的，现在请求三台城乡建设局领导监督管理及答复；（1）2号楼一层入户门面返还给业主做入户大厅及消防通道！（2）2号楼二楼是不是小区的业委会用房及活动室！请建设局直接在网上回复，谢谢,233,2022-03-06 02:13,1,三台县网络新闻发言人,网友，您好，您反映的情况我们已关注到，并已转相关责任单位。三台县网络新闻发言人,39,2022-03-07 09:36,,,,,https://ly.scol.com.cn//thread?tid=2943540,我 是 滨江 半岛 D 区 业主 ： 由于 2 号楼 一楼 入户 大厅 是 全体 业主 的 公摊面积 ， 交由 物业公司 从 2013 年 到 2021 年 租给 幼儿园 占用 ， 造成 只有 一个 门面 进入 （ 包括 消防 在内 ） ， 在 门面 墙上 打 了 一个 小门 据说 是 消防安全 通道 （ 长年 锁 着 的 ） ， 业主 也 找 了 物业 要求 把 一楼 整层 交还 业主 做 入户 大厅 及 消防通道 ， 物业 回答 说 是 开发商 的 ， 现在 请求 三台 城乡 建设局 领导 监督管理 及 答复 ； （ 1 ） 2 号楼 一层 入户门 面 返还 给 业主 做 入户 大厅 及 消防通道 ！ （ 2 ） 2 号楼 二楼 是不是 小区 的 业委会 用房 及 活动室 ！ 请 建设局 直接 在 网上 回复 ， 谢谢,网友 ， 您好 ， 您 反映 的 情况 我们 已 关注 到 ， 并 已 转 相关 责任 单位 。 三台县 网络新闻 发言人,"['业主', '号楼', '入户']","['三台县', '网络新闻', '您好']"
34,半夜破拆扰民,城建,投诉,成都,武侯区,2022年3月6日，西三环路一段内侧太平园中四路附近半夜2点过机械破拆路面，噪声实在太大，深夜扰民，纯粹是野蛮施工。,58,2022-03-06 03:01,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943541,2022 年 3 月 6 日 ， 西 三环路 一段 内侧 太平 园中 四路 附近 半夜 2 点过 机械 破 拆 路面 ， 噪声 实在 太 大 ， 深夜 扰民 ， 纯粹 是 野蛮 施工 。,,"['2022', '点过', '三环路']",
35,邛崃市黄坝3期安置情况,拆迁,咨询,成都,邛崃市,请问邛崃市黄坝3期的安置情况什么时候开始建设具体的户型有哪些具体多少套,35,2022-03-06 03:26,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943542,请问 邛崃市 黄坝 3 期 的 安置 情况 什么 时候 开始 建设 具体 的 户型 有 哪些 具体 多少 套,,"['邛崃市', '黄坝', '具体']",
